city,state,num_restaurants_by_city
"http://dbpedia.org/resource/Salem,_Oregon","http://www.city.ac.uk/ds/inm713/feiphoon#or","3"
"http://dbpedia.org/resource/Bend,_Oregon","http://www.city.ac.uk/ds/inm713/feiphoon#or","3"
"http://dbpedia.org/resource/Duluth,_Georgia","http://dbpedia.org/resource/Atlanta","2"
"http://dbpedia.org/resource/Augusta,_Maine","http://dbpedia.org/resource/Atlanta","2"
"http://dbpedia.org/resource/Port_Angeles,_Washington","http://dbpedia.org/resource/Baxter_Estates,_New_York","2"
"http://dbpedia.org/resource/Aretha_Franklin","http://dbpedia.org/resource/Bengal","2"
"http://dbpedia.org/resource/Buffalo_Bills","http://dbpedia.org/resource/Brooklyn","2"
"http://dbpedia.org/resource/Niagara_Falls_station_(New_York)","http://dbpedia.org/resource/Brooklyn","2"
"http://dbpedia.org/resource/Bolingbrook,_Illinois","http://dbpedia.org/resource/Chicago","2"
"http://dbpedia.org/resource/John_Addison","http://dbpedia.org/resource/Chicago","2"
"http://dbpedia.org/resource/Homer_Glen,_Illinois","http://dbpedia.org/resource/Chicago","2"
"http://dbpedia.org/resource/Freeport,_Maine","http://dbpedia.org/resource/Chicago","2"
"http://dbpedia.org/resource/Lockport_Locks","http://dbpedia.org/resource/Chicago","2"
"http://dbpedia.org/resource/Aurora_F.C.","http://dbpedia.org/resource/Colombia","2"
"http://dbpedia.org/resource/Arvada_Chorale","http://dbpedia.org/resource/Colombia","2"
"http://dbpedia.org/resource/Endicott_Peabody","http://dbpedia.org/resource/Crestview_Heights,_Indiana","2"
"http://dbpedia.org/resource/Birmingham","http://dbpedia.org/resource/Detroit","2"
"http://dbpedia.org/resource/New_Orleans","http://dbpedia.org/resource/Estudiantes_de_La_Plata","2"
"http://dbpedia.org/resource/Miami","http://dbpedia.org/resource/Florida","2"
"http://dbpedia.org/resource/Pompano_Beach_station","http://dbpedia.org/resource/Florida","2"
"http://dbpedia.org/resource/Miami_Beach,_Florida","http://dbpedia.org/resource/Florida","2"
"http://dbpedia.org/resource/Jacksonville_Sharks","http://dbpedia.org/resource/Florida","2"
"http://dbpedia.org/resource/City_of_Maitland","http://dbpedia.org/resource/Florida","2"
"http://dbpedia.org/resource/Memphis_Rogues","http://dbpedia.org/resource/GPS_Portland_Phoenix","2"
"http://dbpedia.org/resource/Greensboro_Swarm","http://dbpedia.org/resource/Guilford_Courthouse_National_Military_Park","2"
"http://dbpedia.org/resource/Wichita_Wings","http://dbpedia.org/resource/Górnik_Zabrze","2"
"http://dbpedia.org/resource/Winston-Salem_Dash","http://dbpedia.org/resource/Hanes","2"
"http://dbpedia.org/resource/Grinnell,_Iowa","http://dbpedia.org/resource/Iowa","2"
"http://dbpedia.org/resource/Islip,_New_York","http://dbpedia.org/resource/Islip_Manor_Meadows","2"
"http://dbpedia.org/resource/Hickory","http://dbpedia.org/resource/Longview,_Texas","2"
"http://dbpedia.org/resource/Wheeling_Nailers","http://dbpedia.org/resource/Maria_Anna_Mozart","2"
"http://dbpedia.org/resource/Westminster","http://dbpedia.org/resource/Maryland","2"
"http://dbpedia.org/resource/Essex","http://dbpedia.org/resource/Maryland","2"
"http://dbpedia.org/resource/Bayonne","http://dbpedia.org/resource/María_Parado_de_Bellido","2"
"http://dbpedia.org/resource/Carol_Danvers","http://dbpedia.org/resource/Massachusetts","2"
"http://dbpedia.org/resource/Marblehead,_Ohio","http://dbpedia.org/resource/Massachusetts","2"
"http://dbpedia.org/resource/Burlington,_Iowa","http://dbpedia.org/resource/Massachusetts","2"
"http://dbpedia.org/resource/Kernersville_Depot","http://dbpedia.org/resource/Matthewstown_Passage_Tomb","2"
"http://dbpedia.org/resource/Albany,_Georgia","http://dbpedia.org/resource/McKownville,_New_York","2"
"http://dbpedia.org/resource/Wausau,_Wisconsin","http://dbpedia.org/resource/Milwaukee","2"
"http://dbpedia.org/resource/Detroit_Lakes_station","http://dbpedia.org/resource/Minnesota","2"
"http://dbpedia.org/resource/Mankato,_Kansas","http://dbpedia.org/resource/Minnesota","2"
"http://dbpedia.org/resource/East_Greenwich,_Rhode_Island","http://dbpedia.org/resource/Moon_So-ri","2"
"http://dbpedia.org/resource/Newport,_Wales","http://dbpedia.org/resource/Moon_So-ri","2"
"http://dbpedia.org/resource/Bristol","http://dbpedia.org/resource/Moon_So-ri","2"
"http://dbpedia.org/resource/Providence_Bruins","http://dbpedia.org/resource/Moon_So-ri","2"
"http://dbpedia.org/resource/Clifton_Parker","http://dbpedia.org/resource/NJ_Transit","2"
"http://dbpedia.org/resource/Allentown_Jets","http://dbpedia.org/resource/NJ_Transit","2"
"http://dbpedia.org/resource/Englishtown,_New_Jersey","http://dbpedia.org/resource/NJ_Transit","2"
"http://dbpedia.org/resource/Morristown,_Vermont","http://dbpedia.org/resource/NJ_Transit","2"
"http://dbpedia.org/resource/James_Madison","http://dbpedia.org/resource/NJ_Transit","2"
"http://dbpedia.org/resource/Long_Beach,_New_York","http://dbpedia.org/resource/Naples","2"
"http://dbpedia.org/resource/Lincolnshire","http://dbpedia.org/resource/Ne-Yo","2"
"http://dbpedia.org/resource/Union_Omaha","http://dbpedia.org/resource/Ne-Yo","2"
"http://dbpedia.org/resource/Brian_Wilson","http://dbpedia.org/resource/North_Carolina","2"
"http://dbpedia.org/resource/Charlotte_Sting","http://dbpedia.org/resource/North_Carolina","2"
"http://dbpedia.org/resource/Milford,_Delaware","http://dbpedia.org/resource/Norwalk,_Connecticut","2"
"http://dbpedia.org/resource/Manchester","http://dbpedia.org/resource/Norwalk,_Connecticut","2"
"http://dbpedia.org/resource/Bloomfield_Road","http://dbpedia.org/resource/Norwalk,_Connecticut","2"
"http://dbpedia.org/resource/Oklahoma_City","http://dbpedia.org/resource/OK_Go","2"
"http://dbpedia.org/resource/Findlay,_Ohio","http://dbpedia.org/resource/Ohio","2"
"http://dbpedia.org/resource/Encinitas_station","http://dbpedia.org/resource/Olivenhain_Dam","2"
"http://dbpedia.org/resource/Chatsworth_House","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Palm_Desert_Scene","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Yucaipa_Companies","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/San_Francisco","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Jesse_Ventura","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Modesto_Nuts","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Irvine,_California","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Sacramento_Kings","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Thousand_Oaks_shooting","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Battle_of_Palo_Alto","http://dbpedia.org/resource/Ontario","2"
"http://dbpedia.org/resource/Santa_Cruz,_California","http://dbpedia.org/resource/Paradise_Park_(mall)","2"
"http://dbpedia.org/resource/Kingdom_of_Prussia","http://dbpedia.org/resource/Pennsylvania","2"
"http://dbpedia.org/resource/Shrewsbury","http://dbpedia.org/resource/Pennsylvania","2"
"http://dbpedia.org/resource/West_Chester_University","http://dbpedia.org/resource/Pennsylvania","2"
"http://dbpedia.org/resource/State_College,_Pennsylvania","http://dbpedia.org/resource/Pennsylvania","2"
"http://dbpedia.org/resource/Bethlehem","http://dbpedia.org/resource/Pennsylvania","2"
"http://dbpedia.org/resource/Plymouth","http://dbpedia.org/resource/Pennsylvania","2"
"http://dbpedia.org/resource/Long_Island_City","http://dbpedia.org/resource/Queens","2"
"http://dbpedia.org/resource/Union_Army","http://dbpedia.org/resource/Rex_Townley","2"
"http://dbpedia.org/resource/Westwood_One","http://dbpedia.org/resource/Rivervale,_Arkansas","2"
"http://dbpedia.org/resource/Bill_Pullman","http://dbpedia.org/resource/Seattle","2"
