restaurant,name,address,city,state,postcode,country
http://www.city.ac.uk/ds/inm713/feiphoon#yogurt_zone_2771_e_broad_st_mansfield_tx_76063_us,Yogurt Zone,2771 E Broad St,Mansfield,TX,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#north_end_pizzeria_11628_santa_monica_blvd_los_angeles_wla_90025_us,North End Pizzeria,11628 Santa Monica Blvd,Los Angeles,Wla,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#medway_village_pizza_135_village_st_medway_ma_2053_us,Medway Village Pizza,135 Village St,Medway,MA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#cuginos_pizza_2151_lemoine_ave_fort_lee_west_fort_lee_7024_us,Cugino's Pizza,2151 Lemoine Ave,Fort Lee,West Fort Lee,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mainland_grille_2250_rittenhouse_rd_harleysville_pa_19438_us,Mainland Grille,2250 Rittenhouse Rd,Harleysville,PA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#sal_vito_pizza_910_haddonfield_berlin_rd_voorhees_echelon_8043_us,Sal Vito Pizza,910 Haddonfield Berlin Rd,Voorhees,Echelon,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#california_pizza_kitchen_109_w_county_ctr_saint_louis_country_life_acres_63131_us,California Pizza Kitchen,109 W County Ctr,Saint Louis,Country Life Acres,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#j_and_g_restaurant_35_s_main_st_east_granby_ct_6026_us,J & G Restaurant,35 S Main St,East Granby,CT,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#euro_pizza_103_n_state_rd_briarcliff_manor_briarcliff_mnr_10510_us,Euro Pizza,103 N State Rd,Briarcliff Manor,Briarcliff Mnr,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#billys_red_room_60_parsippany_rd_whippany_nj_7981_us,Billy's Red Room,60 Parsippany Rd,Whippany,NJ,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#guidos_9563_kings_charter_doctor_b_ashland_va_23005_us,Guidos,9563 Kings Charter Doctor B,Ashland,VA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#joe_cristianos_pizza_1225_route_9g_hyde_park_ny_12538_us,Joe Cristianos Pizza,1225 Route 9g,Hyde Park,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#joe_cristianos_pizza_1225_route_9g_hyde_park_ny_12538_us,Joe Cristianos Pizza,1225 Route 9g,Hyde Park,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#joe_cristianos_pizza_1225_route_9g_hyde_park_ny_12538_us,Joe Cristianos Pizza,1225 Route 9g,Hyde Park,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#famous_famiglia_757_broadway_new_york_manhattan_10003_us,Famous Famiglia,757 Broadway,New York City,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#famous_famiglia_757_broadway_new_york_manhattan_10003_us,Famous Famiglia,757 Broadway,New York,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#famous_famiglia_757_broadway_new_york_manhattan_10003_us,Famous Famiglia,757 Broadway,York,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#famous_famiglia_757_broadway_new_york_manhattan_10003_us,Famous Famiglia,757 Broadway,New City,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#little_italy_pizza_1495_union_ave_memphis_mphs_38104_us,Little Italy Pizza,1495 Union Ave,Memphis,Mphs,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#river_house_bar_and_grill_2495_harrisburg_pike_middletown_hbg_inter_airp_17057_us,River House Bar & Grill,2495 Harrisburg Pike,Middletown,Hbg Inter Airp,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#linguines_italian_eatery_350_boston_post_rd_w_marlborough_ma_1752_us,Linguine's Italian Eatery,350 Boston Post Rd W,Marlborough,MA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#oh_brians_on_the_green_1300_raritan_rd_clark_nj_7066_us,Oh' Brian's on the Green,1300 Raritan Rd,Clark,NJ,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#pizza_city_7408_windsor_mill_rd_windsor_mill_md_nan_us,Pizza City,7408 Windsor Mill Rd,Windsor Mill,MD,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#prima_pizza_133_back_river_neck_rd_essex_md_21221_us,Prima Pizza,133 Back River Neck Rd,Essex,MD,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#original_giorgios_14_scott_adam_rd_cockeysville_md_21030_us,Original Giorgio's,14 Scott Adam Rd,Cockeysville,MD,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#vecchia_wayne_134_n_wayne_ave_wayne_saint_davids_19087_us,Vecchia - Wayne,134 N Wayne Ave,Wayne,Saint Davids,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#la_china_poblana_556_state_route_18_east_brunswick_nj_8816_us,La China Poblana,556 State Route 18,East Brunswick,NJ,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#euro_pizzeria_120_e_post_rd_white_plains_ny_10601_us,Euro Pizzeria,120 E Post Rd,White Plains,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#euro_pizzeria_120_e_post_rd_white_plains_ny_10601_us,Euro Pizzeria,120 E Post Rd,White Plains,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#euro_pizzeria_120_e_post_rd_white_plains_ny_10601_us,Euro Pizzeria,120 E Post Rd,White Plains,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#maaco_collision_repair_and_auto_painting_510_s_mason_rd_katy_tx_77450_us,Maaco Collision Repair & Auto Painting,510 S Mason Rd,Katy,TX,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#tutti_gusti_harrisonburg_va_harrisonburg_va_22801_us,Tutti Gusti,Harrisonburg Va,Harrisonburg,VA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#the_pizza_stop_222_e_main_st_collegeville_rahns_19426_us,The Pizza Stop,222 E Main St,Collegeville,Rahns,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#dontes_restaurant_and_pizza_shop_20850_sheldon_rd_brookpark_oh_44142_us,Donte's Restaurant & Pizza Shop,20850 Sheldon Rd,Brookpark,OH,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#little_pizza_paradise_cascade_village_mall_across_from_target_bend_or_97701_us,Little Pizza Paradise,Cascade Village Mall Across From Target,Bend,OR,97701,US
http://www.city.ac.uk/ds/inm713/feiphoon#zimorinos_red_pies_over_montana_1250_w_broadway_st_missoula_mt_59802_us,Zimorino's Red Pies Over Montana,1250 W Broadway St,Missoula,MT,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#kaydee_kats_4109_n_prospect_rd_peoria_heights_il_61616_us,Kaydee Kats!,4109 N Prospect Rd,Peoria Heights,Chicago,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#kaydee_kats_4109_n_prospect_rd_peoria_heights_il_61616_us,Kaydee Kats!,4109 N Prospect Rd,Peoria Heights,IL,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#lil_frankies_19_first_ave_new_york_manhattan_10003_us,Lil' Frankie's,19 First Ave,New City,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#lil_frankies_19_first_ave_new_york_manhattan_10003_us,Lil' Frankie's,19 First Ave,New York,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#lil_frankies_19_first_ave_new_york_manhattan_10003_us,Lil' Frankie's,19 First Ave,New York City,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#lil_frankies_19_first_ave_new_york_manhattan_10003_us,Lil' Frankie's,19 First Ave,York,Manhattan,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#cvspharmacy_mcdermott_allen_tx_75013_us,Cvs/pharmacy,Mcdermott,Allen,TX,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#vinnys_new_york_pizza_and_grill_6590_sugarloaf_pkwy_duluth_ga_30097_us,Vinny's New York Pizza & Grill,6590 Sugarloaf Pkwy,Duluth,Atl,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#vinnys_new_york_pizza_and_grill_6590_sugarloaf_pkwy_duluth_ga_30097_us,Vinny's New York Pizza & Grill,6590 Sugarloaf Pkwy,Duluth,Atlanta,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#vinnys_new_york_pizza_and_grill_6590_sugarloaf_pkwy_duluth_ga_30097_us,Vinny's New York Pizza & Grill,6590 Sugarloaf Pkwy,Duluth,GA,None,US
